# synthesis rates in mRNA/min
# mRNA decay halflives in min
#
gene	synthesis_rate	halflife
snkE	0.07	4.04
lulI	0.25	0.87
sazK	0.01	8.47
eqrS	0.00	6.53
hsaN	0.08	5.07
lqiX	0.10	4.38
klmR	0.05	12.21
njuQ	1.45	11.39
ghvM	0.02	2.71
zrvQ	0.02	4.36
jlnG	0.03	2.18
vlnL	0.03	3.77
jzpL	0.31	6.54
uxnZ	0.01	3.76
uwgH	0.31	5.32
eliQ	2.35	11.01
ovsB	0.05	2.11
zfgA	0.89	1.80
vtoX	0.02	2.53
ahbO	0.04	3.02
uhxN	0.06	1.49
vudP	0.11	1.00
smuY	0.03	2.34
buqC	0.19	5.45
eujL	0.55	3.88
caoB	0.31	2.60
kkeM	0.06	1.19
scvI	1.20	2.58
qscI	0.02	13.74
medA	0.80	14.97
olqN	0.40	30.71
dlmJ	0.00	5.30
vjuQ	0.01	2.38
ihhN	0.00	0.84
bovT	0.04	2.39
jdwQ	0.37	6.43
grqD	0.04	7.31
wztC	0.10	2.54
xqdE	0.37	1.65
rzoE	0.03	0.85
iirV	0.88	3.74
ggcB	0.01	0.83
vgzO	0.02	1.65
yilG	0.04	2.85
fvzG	0.05	5.47
nahY	0.08	4.98
tauG	0.60	3.69
mcyZ	0.27	3.68
rkdX	0.09	6.86
pyrY	0.06	6.89
cvmO	0.05	6.87
qwqP	0.21	2.04
eilO	0.12	3.67
etaH	0.02	5.70
dquD	0.16	3.73
qhsA	0.20	5.70
xkzO	0.81	7.25
homR	1.50	6.95
nkcY	0.01	1.98
ufoR	0.01	1.62
clgO	0.42	3.33
cpuG	0.35	3.35
jtyM	0.04	3.04
wfnM	0.62	2.20
xlbX	0.06	2.08
rlgI	0.07	1.68
hopG	0.12	3.53
vezK	0.32	1.90
nriY	1.09	3.17
mjoG	0.63	6.74
yxtS	0.29	1.98
bqrB	0.02	7.84
vgyT	0.02	3.13
dwlH	0.05	2.55
dffI	0.04	2.33
wsnY	0.23	8.17
pvzW	0.22	1.59
ddoH	0.28	2.54
vuiD	7.29	4.27
mxsT	0.01	3.82
nixR	0.05	3.93
caiQ	0.03	9.84
vymB	0.10	1.83
wdoF	0.16	2.39
hecQ	0.73	3.28
ubeM	0.06	2.91
kopE	0.26	1.83
nvmT	0.06	1.94
frrS	0.04	2.02
pmwN	0.00	2.80
fgmS	0.50	3.18
gzyR	0.16	8.21
pmzQ	0.03	6.73
ztdB	0.01	5.42
ppjE	0.11	2.92
rfaE	0.20	3.54
zdhN	0.11	0.67
daqN	0.12	2.10
couH	1.36	3.70
paqL	0.00	8.27
zxqQ	0.01	13.67
wosM	0.12	6.45
draN	0.03	6.94
ilxM	0.06	1.43
dzmI	0.12	1.58
qgtK	0.02	20.11
nvzY	0.07	3.35
ngzA	0.16	4.44
qcqS	0.26	6.35
xttR	0.05	3.13
zogH	0.02	1.48
mtpW	0.09	4.19
renA	0.08	10.75
nslK	0.48	6.96
gygJ	0.02	3.67
rfcS	0.23	10.99
crzV	0.01	2.72
riaP	0.08	3.60
pzaM	0.22	1.67
qoyR	0.00	1.62
hrxS	0.22	2.07
wccP	0.13	3.02
ewtQ	0.14	2.84
qbwH	1.74	6.03
unpV	0.05	3.34
pdmO	0.19	6.08
oklJ	0.08	1.75
nvkK	0.11	28.61
xgvI	0.21	10.61
nbdI	0.27	6.27
uilN	0.02	2.91
jusV	0.06	3.07
hfxK	0.06	5.97
mxgR	0.07	1.91
uwaM	0.03	5.71
dbkM	0.12	1.91
fxpW	0.05	11.09
cbhT	0.02	6.42
cosF	1.73	3.34
itiI	0.07	2.86
hrcK	0.07	4.62
nklR	0.20	3.38
kkcH	0.06	2.13
vxtQ	0.05	2.62
vflZ	0.65	1.86
qcgE	0.05	22.58
pblS	0.01	2.86
eziJ	0.00	0.96
dnjC	0.04	4.59
qoyK	0.00	1.02
gmwA	0.12	13.53
vilJ	0.02	5.02
xayS	0.52	4.85
xvjP	0.22	0.47
brdC	0.01	6.99
ntpG	0.02	1.67
ickP	0.40	5.96
ytzP	0.03	5.23
glkU	0.42	1.84
vvuX	0.11	10.92
mpiB	0.78	26.18
ultH	0.85	2.70
retE	0.03	4.29
bzcB	1.18	8.30
hipK	0.02	8.68
yyiV	0.12	1.32
oxmJ	0.02	3.40
lcrN	0.05	5.69
hryV	0.18	2.48
uquL	0.05	2.29
crbE	0.03	3.56
xwuA	0.06	3.62
zrmF	3.15	2.85
sqpB	0.40	0.64
keqI	0.45	7.51
awtK	0.05	3.04
govH	0.08	2.94
ackD	0.22	1.39
hzlN	0.02	3.55
gciW	0.10	0.88
zejF	0.06	3.18
kzyW	0.07	4.29
bjtG	0.14	6.69
ihoS	0.04	0.42
hslM	0.01	2.30
xhzB	0.02	13.11
sxjV	0.09	10.37
wazB	0.37	19.52
jnsL	0.42	5.32
vueW	0.01	7.12
nlnH	0.23	2.40
teoT	0.08	18.50
syoC	0.02	4.42
tfiH	0.24	5.37
hogD	0.00	2.90
jsnX	0.03	1.21
rnqH	1.05	3.62
izoS	0.04	3.12
ezhI	0.28	1.34
aqbU	0.09	2.05
gxgE	0.18	5.64
dymI	0.22	1.88
bdvA	0.13	10.63
nurI	1.43	5.59
tvlU	0.01	0.99
sliK	0.04	1.29
wzxU	0.02	1.94
iudO	0.19	3.13
mriB	0.04	1.43
kyrC	0.01	2.44
hxpX	0.03	1.11
nbdM	0.06	6.87
ftaL	0.13	3.03
ycsP	0.03	6.11
iftC	0.02	2.05
nlvB	0.02	24.15
oysO	1.04	6.31
pbkD	0.03	3.66
bqeW	0.11	7.69
lgwZ	0.12	8.45
zkdB	0.00	3.35
gtkC	2.05	2.21
oemW	0.20	11.10
syyB	0.00	2.91
hrxA	0.02	12.57
gdgY	0.11	5.38
ochA	0.01	5.75
timD	0.00	7.38
jqgJ	0.18	2.62
dyvD	0.02	1.28
lwlQ	2.77	3.48
sqwB	0.07	5.26
ezkL	0.15	1.45
daoE	0.05	3.74
sljV	0.98	1.26
ljeJ	0.33	6.57
wipG	0.54	5.22
hkkB	2.39	5.45
lsaM	0.03	7.86
gjrK	0.05	3.94
rupW	0.01	10.07
kbxY	0.01	13.66
kqwY	0.02	2.92
jpnT	0.48	1.90
uedJ	0.01	1.44
xwxV	0.17	4.74
pcfH	0.79	1.62
jrsV	0.04	2.50
mcjK	0.50	1.57
vkbO	0.03	1.37
oexU	0.00	3.24
elvF	0.10	2.64
ohcQ	0.56	3.16
oxlF	0.13	3.22
pmbG	0.92	0.81
pvxO	0.72	12.78
ggbD	0.55	2.08
vlwT	0.08	4.88
njnA	0.06	2.95
xyfE	0.01	1.88
isxU	0.02	30.73
vjgB	0.03	2.10
weiV	0.13	4.11
mqkU	0.09	2.39
yjvQ	0.06	3.03
lqfD	0.09	1.05
hqlN	0.08	1.09
oqmU	0.61	3.58
dbwY	0.05	5.05
whtD	0.10	4.80
xfzY	0.01	11.18
wisB	0.01	5.91
vjdA	0.20	2.45
ibrX	1.01	2.29
ocsV	0.24	2.29
fyvP	0.01	4.74
etfH	0.26	12.22
hndD	0.00	15.91
fbtP	0.13	6.00
uhbO	0.25	0.62
vjoA	1.62	2.35
icpX	0.00	4.16
ikeQ	0.04	5.26
dxdP	0.09	2.81
jaiL	0.02	2.76
bmpY	0.05	2.39
gtqE	0.26	7.23
tqbH	0.07	7.12
yphI	0.18	24.07
bgzS	0.02	4.57
mfsI	0.01	7.79
tntI	0.48	5.50
sgfC	1.27	2.82
sutF	0.22	0.63
ehhG	0.04	0.58
wbmR	0.00	6.52
iowE	0.19	3.07
zekQ	0.11	1.38
gzhN	0.10	4.01
oetR	0.13	4.90
wzpG	0.01	1.73
tiaK	0.01	2.04
ydzK	0.21	0.88
unzL	0.05	7.92
tpeJ	0.03	3.38
rspG	0.28	3.31
pgiJ	0.01	2.84
zyiN	0.13	3.08
fddU	0.01	5.25
aqdK	0.00	3.57
spbA	0.59	7.38
wkwT	0.05	1.73
pfcK	0.03	3.98
stgW	0.46	0.78
yfkW	0.64	4.55
dahC	0.05	6.22
whlX	0.49	4.95
ywlE	0.11	0.98
gsmJ	0.05	9.09
kssL	0.01	1.06
ludM	0.12	1.68
tciE	0.05	1.67
sbgP	0.37	4.24
dayY	0.01	2.41
nwpJ	0.27	3.71
rhgD	0.17	0.68
foaI	0.10	15.96
jfpB	0.03	3.88
xmxZ	0.15	3.05
lapP	0.37	1.66
tzrO	0.07	7.67
rilS	0.15	0.71
qctK	0.01	6.22
jabY	0.06	3.40
bacR	0.45	2.85
gjsI	0.38	3.52
qcnJ	0.03	2.14
qgyU	0.07	0.90
jgjF	0.14	2.96
xfgN	0.02	1.87
byxD	0.11	4.69
wahS	0.01	4.04
esnQ	0.03	4.60
jwzN	0.09	4.30
giiV	0.10	8.43
kclG	0.00	5.10
cbbR	0.38	20.80
dpsO	0.01	7.20
jnrV	0.16	4.52
zfiL	0.02	10.94
qmhI	0.36	5.97
dnwI	0.07	7.63
hzyJ	0.21	3.68
sseW	0.01	14.91
vfaX	0.19	3.24
nxrA	0.04	9.94
uvcJ	0.21	4.48
oxwG	0.08	10.25
ozpF	1.11	3.67
yxfP	0.10	12.99
avgS	0.03	2.67
xhlD	0.06	13.29
bmuD	0.00	4.49
whoI	0.01	0.71
avyE	0.18	13.86
dfdO	0.08	1.49
clwU	0.05	2.89
mdgL	0.41	4.38
ipoZ	0.03	10.58
btmL	0.26	0.69
uyaQ	0.05	10.60
ttkU	0.48	4.07
xqgP	0.12	3.09
vwcP	0.83	1.88
lqwF	0.07	4.76
esbC	0.01	6.13
elbD	0.08	20.94
khyM	0.18	0.66
pvwW	0.03	1.64
yrtS	0.01	2.73
qinH	0.12	2.31
dumD	0.44	3.25
kkrT	0.06	2.40
almQ	2.00	0.33
pqzW	0.03	0.80
tscG	0.05	4.98
iubK	0.00	7.75
ymnY	0.02	4.41
xamG	0.08	1.55
dmxB	0.00	10.67
ajaL	0.09	5.24
xjbQ	0.03	2.61
rpiK	0.02	1.04
haxI	0.59	3.40
ddgZ	0.24	4.63
nywK	1.66	3.86
vxfX	0.12	1.27
nqqQ	1.59	6.44
ubuE	0.75	3.73
donU	0.05	2.56
dffT	0.04	3.44
pilG	0.10	5.00
hucS	0.69	0.89
veaR	0.11	2.12
fciU	0.01	7.80
qraC	0.15	10.78
kiuX	0.01	2.11
nppF	0.08	6.70
kvdP	0.05	1.18
fpdS	0.24	1.63
yhcH	0.02	0.83
umxP	0.11	1.10
gabJ	0.04	14.52
fgsN	0.07	3.52
vmpB	0.08	2.98
lkvR	0.04	9.05
vtbF	0.01	4.22
mehA	0.04	1.07
gatJ	0.12	7.79
kedC	0.10	1.61
pzqK	0.18	4.68
nltF	0.44	2.57
kmtT	0.33	6.59
chdM	0.23	2.41
uuuR	0.05	3.30
mxkT	0.01	0.83
iwcA	0.10	2.66
qtmV	0.12	4.72
xgrA	0.46	5.21
zbgI	0.02	2.29
aluN	0.00	2.77
sgxT	0.06	1.73
fkfV	0.03	8.00
emoU	0.03	8.09
ezsJ	0.08	4.04
hvkQ	0.07	2.53
pbeP	2.22	3.99
iicX	0.91	5.83
jhkI	0.62	1.46
cszL	0.04	3.33
nszK	0.12	1.39
khgN	0.06	1.85
ormA	0.08	1.52
knzB	0.75	0.90
bvxS	0.02	9.58
uftE	0.02	11.04
idwG	0.16	33.88
mznX	0.01	7.19
tmlV	0.34	4.38
ovwB	0.08	1.82
adhB	0.10	2.88
sdxM	0.01	4.56
ynoU	0.04	2.98
vgzN	0.01	2.23
ihbD	0.03	5.98
blxY	0.12	1.09
llkP	0.04	1.11
guoS	0.65	0.83
issG	0.01	4.41
vayB	0.57	3.08
zzxG	0.57	1.36
uiyM	0.10	2.95
kemI	0.08	3.77
ziuX	0.05	1.65
xzfE	0.72	11.61
zfhK	0.09	2.90
nexK	3.99	6.60
lfdM	0.07	2.49
tulH	0.02	2.12
lbiM	0.01	6.29
gstT	0.18	2.29
wxbH	0.05	4.56
vkqO	0.03	1.48
cfaN	0.13	3.03
rexC	0.38	1.08
cmqL	0.03	2.68
zizQ	0.07	5.09
uqaZ	0.10	5.83
oahL	0.00	7.75
bnkF	3.95	2.42
djlY	0.01	6.48
ntvL	0.07	3.66
lmrE	0.22	12.33
fsoH	0.15	10.50
fqyX	0.87	7.06
qvjY	0.10	2.94
kcvK	0.03	1.48
aavD	0.00	9.73
ifvX	0.42	1.36
kriO	0.04	0.47
occY	0.06	1.30
xwzX	0.25	3.17
ldtV	0.15	15.11
rcbK	1.69	2.36
cjrS	0.09	4.04
mzzL	0.09	4.98
cyoL	0.03	1.15
kviE	0.12	10.08
jgtR	0.08	2.47
lxaZ	0.06	3.27
hpoL	0.41	2.33
aszH	0.01	5.24
prgG	0.07	5.66
nktR	0.00	1.27
uqkV	0.03	1.86
jcpL	0.03	4.42
jvyP	0.35	2.74
mkfN	0.07	1.14
hfjW	6.88	1.76
csvW	0.02	5.36
uewP	0.07	7.83
choX	0.61	2.07
bnjD	0.03	11.42
uyuI	0.06	4.82
pbwY	0.10	2.28
pmyN	0.25	11.64
uqwD	0.06	0.90
ykpL	0.09	2.79
hgvD	4.72	1.05
ukrQ	1.88	1.87
twuW	0.09	0.74
fzdY	0.02	1.22
lxyM	0.03	5.68
rsvS	0.42	11.50
xwxN	0.43	2.10
lrkR	0.02	1.56
njiG	0.07	3.23
lhfP	0.06	6.38
hobD	0.14	2.15
aybK	1.34	2.42
laiW	0.28	2.40
ahwV	0.04	1.21
moxH	0.01	8.16
uudV	1.03	2.42
wcqJ	0.16	2.35
unmK	0.01	1.90
dkuV	0.06	18.38
scuW	0.07	1.08
tqkO	0.07	4.72
utpB	0.45	5.96
vbwH	0.10	9.34
khwQ	0.01	10.36
oeoD	0.01	6.69
jtyN	0.20	0.66
jwtE	0.03	4.23
tphK	0.30	5.02
aceS	2.53	4.75
cmrB	0.04	2.82
xzcJ	0.04	6.49
ccsC	0.06	2.05
ezlR	0.01	6.67
tklC	0.00	4.91
gkbG	0.05	10.58
wptP	0.04	4.11
bsnY	0.12	7.05
ddzD	0.01	1.08
pqoE	0.00	3.59
zcpM	0.16	5.17
pblP	0.07	0.31
tacA	0.14	2.91
jtoG	0.03	2.09
ruhG	0.02	1.87
fknD	0.02	0.36
fprW	0.00	1.86
jupM	0.04	2.04
hymH	0.00	5.91
bfiO	0.03	1.89
bjcP	0.09	3.02
lwqO	0.10	3.87
dvcW	0.39	1.02
mffT	0.01	9.93
hfrV	0.30	7.46
dshY	0.08	1.22
areW	0.05	1.54
joeK	0.01	1.31
mmxD	0.03	1.06
mhbV	0.01	0.52
ejxY	0.02	2.38
ifoY	0.02	4.14
snlR	0.15	17.40
kzbW	0.64	6.46
wwtP	0.13	4.00
oztC	0.24	6.92
douI	0.05	1.88
hzqB	0.08	3.42
uxaY	0.20	1.50
iwnJ	0.07	1.00
nqgH	0.03	7.31
fwuG	0.04	8.12
ezgR	0.14	6.31
lyjE	0.01	6.64
inuL	0.01	5.28
gvkJ	0.01	2.85
qxcH	0.03	3.81
ijeE	0.05	1.58
ncqQ	0.19	2.54
uwvD	0.01	3.56
nroK	0.06	5.52
wdgC	0.04	2.45
abfW	0.34	1.84
adrX	0.01	4.43
ndgU	0.14	19.30
ourU	0.02	6.18
idhK	0.15	6.84
fvoU	0.42	6.42
ujnI	0.82	4.87
urdS	0.48	9.66
xkoG	0.07	2.63
eycM	0.05	1.16
uevX	0.06	3.01
rkoO	0.19	2.67
jcfZ	0.04	8.53
uqzI	0.04	9.06
lwsD	0.08	10.89
dszH	0.02	2.26
nhyY	0.01	1.44
dzwP	0.00	8.11
vzaM	0.00	5.43
cmvM	0.04	1.09
rzkL	0.41	3.56
srbN	0.10	5.13
fmgM	0.01	3.45
tgrH	0.03	2.50
abnM	0.17	6.83
qxkQ	0.15	2.65
zcmJ	0.08	2.19
ymlH	0.50	4.39
xraG	0.19	2.69
lhnV	0.21	3.83
qaaL	0.34	7.55
dahF	0.36	3.34
pcpI	0.02	8.88
pffC	0.29	1.78
ibqP	0.04	2.33
bfhI	0.00	9.69
tyiH	0.28	4.69
aqjV	0.02	4.49
fqiZ	0.01	2.46
msuN	1.55	8.91
yppI	0.06	2.84
jbyE	0.40	7.25
eoyY	0.05	16.14
uwaP	0.31	3.55
mefO	0.07	13.74
hxaB	0.17	1.94
ealH	0.02	2.44
lkoT	0.14	2.19
nuyO	0.02	5.32
qcmR	0.29	2.59
zztB	0.42	2.59
ijqP	0.13	10.32
btvX	1.51	12.87
nhwS	0.12	5.12
bokW	0.84	3.09
phsB	0.03	2.14
plyR	0.40	1.32
gzaD	0.00	6.43
yuyW	0.00	5.00
svuU	0.14	3.59
jhoZ	0.19	0.71
thdN	0.46	2.11
ecuT	0.04	5.15
xxaC	0.01	5.72
rozG	0.66	3.42
zgmN	0.03	7.16
fksB	0.04	3.24
xuzW	0.01	2.93
lbfK	0.09	4.91
dwaF	0.08	3.77
quiW	0.11	6.50
ewsT	0.15	2.39
nnxU	0.03	0.91
ijrL	0.03	4.60
kisW	0.47	2.21
tpjI	0.02	8.24
kmzZ	0.05	5.77
wtqX	0.00	4.12
shoW	0.04	3.84
jrzY	0.46	4.46
qpeO	0.08	22.50
flyN	0.48	12.27
wlhA	0.00	1.14
njkJ	0.43	8.88
vgbK	0.07	6.92
iacC	0.02	7.38
zvjZ	0.01	9.73
hrvX	0.06	1.49
touX	0.27	1.96
bwuF	0.02	23.66
fgkD	0.03	0.74
dhpX	0.68	0.36
zwpW	0.79	3.31
ormT	0.16	3.05
uhyQ	0.08	7.52
mzbB	0.01	0.96
hokO	0.28	4.30
ikxJ	1.56	0.74
kufG	0.14	5.67
iaxE	0.05	10.77
imdK	0.03	7.92
guiO	0.46	4.34
jleY	0.28	14.05
edmN	0.60	1.59
pjtM	0.36	0.83
hehS	0.16	1.26
mmpP	0.12	3.51
wnbV	0.07	5.98
isrF	0.30	2.75
ifhG	0.03	4.62
llcY	0.01	2.66
xwyX	0.57	0.14
dmxJ	0.01	4.59
obuP	0.05	4.03
hfdC	0.12	3.53
kyiF	0.02	2.77
cwlE	0.37	1.72
lwcS	0.06	2.93
hleL	0.40	3.81
ekcE	0.40	3.32
dorC	0.95	1.53
snhO	0.16	1.39
zabO	0.26	1.86
aqjD	0.02	9.10
okuL	0.07	14.75
cgnD	0.05	7.01
crvD	0.12	1.61
zokG	0.12	2.02
kdoX	0.10	4.57
lmqU	0.00	7.99
npeN	0.00	7.91
nohP	6.49	2.14
druV	0.01	1.19
retS	0.08	2.34
ougQ	0.02	5.72
ygsS	0.01	5.63
dzaO	0.01	1.80
kaiY	0.13	3.11
toeW	0.19	4.20
bhsH	0.07	14.85
zuzP	0.29	1.04
xejQ	0.01	3.57
gksE	0.00	7.14
bwmR	0.04	1.15
wckR	0.16	11.43
wofB	0.07	15.26
skuI	0.03	3.80
jbsF	0.02	5.09
nlfQ	0.23	6.18
xpqN	0.21	1.37
bzuW	0.01	2.33
hcgK	0.17	1.38
kqqN	0.13	0.68
pteU	0.02	4.25
uspV	0.35	14.56
huxY	0.11	2.42
nmrQ	0.32	1.00
rmhD	0.24	31.70
wevH	0.04	2.51
wvhQ	0.79	3.54
iiyD	0.48	2.00
kuuG	0.03	3.80
jorL	0.12	5.51
czrO	0.02	3.75
tigY	0.08	0.89
lizO	0.09	22.22
rqoN	0.02	11.13
zliL	0.10	4.31
ncaK	0.06	11.34
dqfO	0.01	5.07
trjQ	0.06	2.42
kjbL	0.51	3.38
rhuV	0.50	4.59
ishG	0.03	2.87
pzfU	0.01	3.84
omuG	0.04	1.77
xzkF	0.01	7.41
vsdP	0.04	1.28
xfhQ	0.03	1.74
xufB	0.94	1.14
yybJ	0.02	7.14
jsaN	0.06	4.64
leaY	0.05	3.32
uypK	0.02	5.28
bnuM	0.24	5.95
kdfW	0.01	9.31
svlH	0.04	3.10
rkeR	1.10	2.92
mkfK	0.20	3.82
jnxG	0.09	3.61
zfpU	0.08	4.43
lkjR	0.01	8.23
udlD	0.02	0.92
bbmP	0.06	2.53
gidP	0.24	2.31
uhjF	0.05	9.75
ecnY	1.75	2.36
afrI	0.26	1.82
pzcW	0.20	3.91
elnO	0.04	0.88
ntqU	0.30	3.57
ywkG	0.06	2.63
elrH	0.17	2.19
sgpQ	0.00	4.66
iihI	0.18	1.46
svtC	0.00	1.98
orxZ	0.05	4.69
qvjN	0.08	0.27
tngU	0.00	8.16
ubqQ	0.16	3.39
sbfE	2.01	1.54
lcsD	0.06	5.11
nsyH	0.08	4.57
hkaH	0.00	4.30
mfkL	0.06	2.69
eytU	8.70	14.23
ypuA	0.02	1.72
ckkT	0.19	2.51
xdwF	0.01	7.90
vbyT	0.07	2.88
odmE	0.37	2.16
relH	0.36	6.36
wctN	0.04	1.04
bfiJ	0.01	22.21
rnpX	0.04	10.54
lyaS	0.11	2.46
nwoU	0.01	41.34
gamR	0.09	2.82
wqoK	0.03	1.50
fhyL	0.18	9.81
criB	0.00	16.45
nlsT	0.14	2.42
warC	0.05	2.88
xkuP	0.00	11.78
xsoW	0.48	1.54
bmlG	0.07	3.93
zrpI	0.01	5.38
kfcK	0.15	2.26
coxU	13.28	1.74
thrR	0.36	2.54
dlqR	0.17	4.67
onoH	0.09	7.01
jxgN	0.01	12.63
fbeI	0.15	14.03
unoI	0.03	9.06
jqcT	0.12	2.79
ijbL	0.20	4.22
jswC	0.04	7.82
jpoP	0.35	8.63
yxqP	0.41	3.68
izoG	3.58	4.55
rslC	0.01	1.95
esyV	0.04	3.07
tavK	0.09	0.87
tdqW	5.21	1.07
sldZ	0.06	9.84
osoV	0.03	1.29
nmbP	0.04	1.87
gzqA	0.00	4.94
pagR	0.03	18.68
atbS	0.02	3.70
vtjM	0.01	3.69
hhbU	0.02	1.83
epcH	0.06	3.99
axnA	0.33	4.47
nteS	0.14	4.46
azcN	0.03	2.67
qzvC	0.03	1.14
epvT	0.20	2.68
bhrG	0.02	2.35
jeeC	0.02	5.21
epuB	0.56	3.93
okyX	0.50	0.66
uxcZ	0.06	3.83
kjxC	0.27	2.78
qtuQ	0.03	15.05
hvgU	3.12	2.06
cqtY	0.07	3.21
dhnZ	0.02	2.86
aueV	0.06	1.84
gsaQ	0.03	5.62
niaM	0.01	1.81
zopV	0.34	0.86
grhU	0.07	1.91
vesJ	0.03	3.99
bacL	0.03	1.79
ejfG	0.07	4.71
rivW	0.21	0.90
sidK	0.78	6.38
ogoH	0.15	8.20
cnzB	0.01	4.65
cfwB	0.02	15.20
lkqI	0.08	7.80
soeO	0.39	19.26
lcuY	0.15	14.34
hecT	0.18	2.56
mrsK	0.14	23.01
okmV	0.50	6.67
hhqE	0.05	1.82
kzpD	0.19	4.13
wpnY	0.04	2.04
sugG	0.02	0.95
eejW	0.05	3.92
eihX	0.31	1.64
jjyP	0.20	2.00
hgzE	0.49	4.68
mnhB	0.05	4.86
xgcU	0.01	2.09
igrX	0.27	1.71
gtwY	0.06	6.58
kzkF	0.03	6.41
fpjP	0.18	4.23
llyF	0.05	6.14
giyV	0.03	8.23
jspR	0.03	1.53
wxyZ	0.06	4.75
thaI	0.45	1.88
oqrK	0.01	8.44
nan	0.07	1.24
zsfG	0.01	9.07
grnA	0.14	6.56
ieyD	0.43	8.19
edjX	0.04	2.54
pnfN	0.08	0.93
mrjS	0.03	5.52
mdpL	0.42	6.34
ifnR	1.30	4.97
sldV	0.06	4.15
vtbL	0.07	6.47
musY	0.06	8.60
wcdY	0.38	3.82
lbbN	7.79	4.63
dtbL	0.03	8.43
ffzC	0.03	5.24
fwvJ	0.22	3.81
olnO	0.04	8.34
csdI	0.60	4.85
mupD	0.16	2.27
dncW	0.02	6.84
djnH	0.66	1.75
yalF	0.20	1.47
smqT	0.01	7.54
kegP	0.10	1.29
hkxE	0.06	7.39
asjN	0.03	5.79
kdjL	0.18	3.55
ohkT	0.01	3.58
iwpE	0.01	4.91
uymV	0.04	6.52
nasU	0.03	2.82
nhnE	0.14	10.30
vnfI	0.85	1.77
zzeJ	1.13	0.89
fctZ	0.03	2.82
zgvC	0.06	2.20
spnA	0.10	5.37
kwjB	0.81	2.80
vapP	0.04	2.11
izgK	0.00	1.47
okeH	0.75	2.59
ahoV	0.04	3.66
qurQ	0.15	0.44
mdjZ	0.06	7.50
ikkW	0.01	2.70
cnhM	0.01	18.67
nqwJ	0.13	1.19
ypmK	0.03	2.22
jjlG	0.03	6.39
wwgO	0.59	5.29
ltbT	0.02	5.65
texB	0.06	5.83
urwL	0.04	3.07
qweI	0.17	2.02
olpO	0.06	10.64
gynW	0.43	8.84
fvhP	0.01	2.93
rcfE	0.28	4.78
bytE	0.22	13.71
prcN	0.08	0.83
cygQ	0.18	8.70
nupJ	0.18	10.77
yfuC	0.21	7.67
nskG	0.16	5.38
neaD	0.21	0.48
zpnB	0.23	1.99
stxU	0.04	4.53
cvxO	0.06	2.47
vegH	0.02	5.43
rvxV	0.04	6.89
vkqZ	1.41	6.78
jpgJ	0.04	2.22
aedX	0.04	5.72
vpeJ	0.06	1.18
fulG	0.01	14.82
mfeG	0.44	2.38
phqO	0.33	1.41
pjjY	0.02	1.66
kdhY	0.26	0.90
dfqR	0.02	1.58
knqL	0.36	4.20
rdrP	0.01	2.91
ayuX	0.01	5.20
bweH	0.03	1.08
dwcZ	0.02	2.02
veiP	0.42	7.45
tdzF	0.26	2.81
vypA	0.11	2.54
ydbG	0.03	3.90
wbmP	0.12	6.14
bzgL	0.02	2.98
ixtO	0.07	0.51
axhU	0.00	2.64
esuD	0.03	1.85
unfZ	0.04	9.13
pelT	0.03	0.67
idcJ	0.77	1.60
zqvC	0.01	2.88
bzsQ	0.07	13.44
rbaB	0.04	10.47
zcsF	0.13	1.03
edmX	0.01	1.77
ltpW	0.22	5.91
loyD	0.01	2.02
tncY	0.22	5.68
wwiN	0.07	8.34
igeY	0.15	4.70
dxyS	0.01	5.83
olnW	0.05	2.62
gscO	0.02	8.13
mvzS	0.02	6.26
eieH	0.11	7.12
odmG	0.19	8.27
rahU	0.04	1.40
sqcT	1.01	6.10
gqcR	0.07	4.48
oqhT	0.31	15.53
ruuM	0.31	3.90
kriI	1.46	2.40
hglW	0.57	0.98
ttvD	1.43	1.53
jdbV	2.28	6.75
fzeS	0.01	0.95
aovL	0.11	9.14
ghaV	0.08	6.46
sywF	0.08	2.06
gitY	0.04	14.61
yarQ	0.18	1.57
hgoZ	1.01	7.63
detR	0.00	4.60
srzC	0.06	14.30
wntB	0.09	9.58
dmuV	0.08	1.06
udfM	0.00	1.24
aooV	0.04	1.42
ihrI	0.20	4.98
uqfO	0.10	1.30
qrcJ	0.03	3.94
xgzY	0.21	4.23
jjuI	0.01	6.00
bpeR	0.03	1.37
kyuF	5.49	1.17
udwP	0.05	2.34
erzW	0.20	2.50
xreD	0.07	10.39
vfoW	0.05	8.47
qubJ	0.41	2.43
zciS	0.02	8.74
raoO	0.02	2.51
swzP	0.02	1.93
unfI	1.08	5.37
soiI	0.20	0.44
kutI	0.26	1.32
ltfZ	0.01	2.41
zbwQ	0.01	4.20
klrT	0.15	9.90
yiwW	0.10	4.77
ezqU	0.10	3.48
ipeV	0.02	2.45
vdlD	0.22	3.24
elgC	0.06	3.91
ollF	0.12	5.07
zwkP	0.33	5.04
uopB	0.01	12.15
mubC	0.00	1.40
lasW	0.12	2.07
bmuE	0.00	11.35
xxuZ	0.00	6.64
jdnD	0.01	7.08
zlwQ	0.53	8.30
mezT	0.15	1.18
toqV	0.05	2.93
jdkF	0.04	8.34
ktzS	0.55	6.02
ueiU	0.02	5.07
klhY	0.03	3.32
iysG	0.61	1.98
mlmC	0.59	2.13
tugY	0.05	2.02
klhU	0.08	2.03
wbkL	0.03	3.59
bksZ	0.14	4.75
rivB	0.09	4.08
jccI	0.02	3.65
